Gene name,number of CPs,RSS,nCP-penalized RSS,R squared
SREBF1,3,0.791196400546398,3.16478560218559,0.890469310287815
HSD17B10,4,1.42014768730273,12.7813291857246,0.795665718467286
TRHDE,,,,
P4HA2,3,2.17455343515735,8.69821374062942,0.782934672344339
TRNT1,,,,
ACADVL,,,,
STK10,3,1.66732679275508,6.66930717102033,0.798784580958888
SCARB1,,,,
PDE8A,4,0.129598395843876,1.16638556259488,0.922308412692026
SDHA,3,0.0263199763889342,0.105279905555737,0.989722743248696
PPP2R3A,4,1.16081896963974,10.4473707267576,0.900937409238922
ABCB11,3,7.99122939017085,31.9649175606834,0.837181832428905
DHRS9,4,2.19603420839218,19.7643078755296,0.961089062891251
PTGS2,,,,
ST6GAL1,3,0.261504601713451,1.04601840685381,0.934894580892543
PPP2R2C,,,,
ATP2A3,,,,
CA12,,,,
MGLL,4,0.787163883610688,7.08447495249619,0.886627951232466
NUAK1,4,2.69962277159361,24.2966049443425,0.782978394101296
SLC24A1,4,0.485275139052159,4.36747625146943,0.92660950416934
HACD3,3,0.9849298091659,3.9397192366636,0.839179988712208
ENO1,4,0.63196690382209,5.68770213439881,0.894189673763531
SLC12A1,,,,
TXK,,,,
NUP37,3,1.57074076062059,6.28296304248237,0.829872988914195
ACAT1,3,0.920501045774242,3.68200418309697,0.901074444316229
SLC25A3,3,0.275736580610862,1.10294632244345,0.921287517560275
PLD1,4,0.326806731652728,2.94126058487455,0.958553902251296
ATP12A,2,1.24709365214769,1.24709365214769,0.885197312584878
MKRN2,,,,
PTPN23,3,0.159909349778713,0.63963739911485,0.840742140380659
FMO4,4,1.17861933040603,10.6075739736543,0.922068368017566
SLC46A1,,,,
ACACB,4,0.227082710150018,2.04374439135017,0.971744870814357
NT5C2,3,0.440966934698631,1.76386773879452,0.776421996877561
NMRK2,,,,
DGKD,4,0.300293324962399,2.70263992466159,0.91520004510475
UBE2T,3,3.73981584624756,14.9592633849902,0.789668957606807
USP33,4,0.312652805958869,2.81387525362982,0.924865193637076
PAK3,,,,
POLD3,4,2.39991098697482,21.5991988827734,0.763830593319439
UBE2A,4,0.222562843129147,2.00306558816232,0.797193746419792
FGFR1,4,2.12998823629676,19.1698941266708,0.875485898290732
FKBP6,,,,
MCCC1,4,1.11842885528999,10.0658596976099,0.760938234639037
ACER3,3,0.254286096666826,1.0171443866673,0.879073182188082
SYNJ2,4,1.29212909494521,11.6291618545069,0.925201484042475
ADCY2,,,,
UBE2D4,4,1.70984845620779,15.3886361058701,0.763319675450508
FKBP7,3,2.7652923254503,11.0611693018012,0.759043941444628
SLC1A3,,,,
MKNK1,3,0.182587307881393,0.73034923152557,0.955064092641378
CDC14A,,,,
DUSP13B,2,1.48063391999432,1.48063391999432,0.87620787777958
LIPE,,,,
FDFT1,3,1.59909025921133,6.3963610368453,0.772441964931579
PAFAH1B3,3,0.333247660661237,1.33299064264495,0.962067672489023
PGM1,3,0.221846159553807,0.887384638215227,0.95718481135216
PTPRH,,,,
DCT,3,0.403785857084058,1.61514342833623,0.907898749006281
EPHA6,,,,
SLC4A4,,,,
CNOT4,3,0.236875062127745,0.947500248510982,0.901949140168914
CPOX,3,1.13030540541831,4.52122162167325,0.830441479137424
MOK,3,0.446146172047292,1.78458468818917,0.845701828935463
ARG2,4,0.317796898660213,2.86017208794192,0.941502041369481
PTPRC,,,,
STK17B,,,,
LRP2,4,0.230037791197286,2.07034012077558,0.884981104401357
DUSP12,,,,
AACS,4,0.556929761514125,5.01236785362713,0.938330564659753
SMARCD3,4,0.440657700518183,3.96591930466364,0.947796094640939
ME2,4,0.290971918934882,2.61874727041394,0.869670742072485
BCKDHB,4,0.383902038009638,3.45511834208674,0.970349517161685
TUT7,,,,
ULK2,4,0.250397425183049,2.25357682664744,0.944440327484121
